Country,Electricity,Heat,Natural_gas,Oil_and_petroleum_products_excluding_biofuel_portion,Other_fuels_nec,Renewables_and_biofuels,Solid_fossil_fuels
Austria,0.17843972,0.08714146,0.15924288,0.105809234,0.0,0.22310632,0.0021917627
Belgium,0.1383292,0.0014481121,0.2862435,0.19990845,0.0,0.059648428,0.0039995476
Bulgaria,0.13320097,0.0439375,0.010891811,0.0028386589,0.0,0.103086516,0.014625263
Croatia,0.1309272,0.026910376,0.11263914,0.024658687,0.0,0.25339687,6.590295E-4
Cyprus,0.17391361,0.0,0.0,0.12705092,0.0,0.11297556,0.0
Czechia,0.12316282,0.09118786,0.16855939,0.0042106947,0.0,0.2059293,0.06480523
Denmark,0.1516476,0.27853486,0.106040426,0.034920342,0.0,0.18145032,0.0
Estonia,0.13435295,0.2466608,0.043587517,0.0069653853,0.0,0.2855808,9.3350525E-4
Finland,0.35135806,0.28849527,0.0047963485,0.05429059,7.1434985E-4,0.32084516,0.0
France,0.20440003,0.019158797,0.16916685,0.06465352,0.0,0.1353572,3.5589095E-4
Germany,0.13103959,0.047783542,0.26959094,0.14307241,0.0,0.09987943,0.004173235
Greece,0.1393234,0.004912781,0.03584795,0.10754385,0.0,0.0956457,5.373354E-4
Hungary,0.10223615,0.046529066,0.28579652,0.0075515336,0.0,0.13157095,0.007203002
Ireland,0.14259773,0.0,0.12032968,0.24083564,0.03742676,0.014806191,0.03155129
Italy,0.0942811,0.022777552,0.26957843,0.033030096,0.0,0.108814344,0.0
Latvia,0.073880404,0.19132179,0.057668794,0.02759687,0.0,0.26588288,0.0024131793
Lithuania,0.08965277,0.1595208,0.057593234,0.021286707,0.0051274546,0.173453,0.011342552
Luxembourg,0.1281844,0.0,0.40123376,0.19017278,0.0,0.031407434,3.7568703E-4
Malta,0.14471531,0.0,0.0,0.03191074,0.0,0.028344607,0.0
Netherlands,0.11622608,0.016696054,0.373453,0.0021004714,0.0,0.030052897,5.385824E-5
Poland,0.06656037,0.09559968,0.09583928,0.01710731,0.0,0.07298161,0.13110813
Portugal,0.11062765,8.4405634E-5,0.027769452,0.03967065,0.0,0.10319995,0.0
Romania,0.057507284,0.03626154,0.13030992,0.016253797,0.0,0.15690705,0.0020766521
Slovakia,0.08603763,0.07410682,0.20549121,0.0012124807,0.0,0.11290621,0.005237917
Slovenia,0.14126965,0.035520677,0.050816424,0.06011583,0.0,0.22039081,5.081642E-5
Spain,0.1337001,0.0,0.06411828,0.051087376,0.0,0.063741475,0.0013815886
Sweden,0.36862093,0.25093,0.0019435199,0.018643394,0.0,0.07968431,0.0
United Kingdom,0.13395028,0.0040625674,0.35985193,0.03627701,0.0,0.031184498,0.006866311
